id,order_id,product_id,quantity,unit_price,total_price,created_at
21072,9000,1000384,1,$78.95,78.95,2025-02-09 13:42:15
19684,8422,484,1,78.34,,2025-06-25 16:30:25
1792,771,324,0,476.43,476.43,EMPTY
11568,4968,172,1,73.22,73.22,2025-01-14 01:06:50
15641,6681,150,,754.67,754.67,2025-01-26 02:53:59
18526,7930,192,3,,90.48,2025-02-27 19:40:08
2762,1166,37,EMPTY,,2995.38,2025-03-02 23:18:07
6620,2830,63,$1.00,1194.69,1194.69,2025-06-03 20:14:28
19985,8544,44,1,827.87,827.87,2025-05-17 12:28:55
10969,4696,257,1,,183.6,2025-06-01 17:39:50
16211,6919,481,1.01,75.04,,2025-02-17 12:22:20
9685,4138,183,2,91.53,183.06,not a date
22110,9440,16,2,1075.44,2150.88,2025-05-27 02:33:29
18290,7828,285,1,N/A,1547.8,2024-07-17 16:59:13
9577,4098,405,1,,14.56,
21929,9367,336,EMPTY,168.96,168.96,2024-12-26 02:42:55
5936,2531,436,2,87.14,
20496,8757,384,1,133.8,133.8,1739238858
22321,9536,499,N/A,28.8,28.8,2025-03-28 02:30:08
4782,2025,299,1,1208.19,1208.19,2024-02-24 15:25:37
10735,4588,201,1,385.26,385.26,TBD
7483,3201,368,1,145.23,TBD,2025-01-18 05:42:37
4268,1806,62,1,N/A,862.23,2024-12-11 11:59:50
19547,8368,488,-1,47.25,47.25,2025-06-17 04:45:16
18255,7812,333,2,-12731.199999999999,2546.24,2024-12-08 04:40:19
21625,9238,493,-1,15.58,31.16USD,00/00/0000
21375,9128,91,,401.59,401.59,2025-03-11 23:51:23
19278,8259,27,1,1644.23,abc,2024-10-19 23:23:56
6528,2792,401,$1.00,25.14,25.14,2025-01-10 17:29:05
20037,8570,229,2,234.75,469.5,2023-10-15 02:17:14
2537,1075,259,1,0,623.74,2024-04-13 11:20:42
5980,2551,407,1,43.27,43.27,2024-09-18 09:59:11
7656,3273,1000333,,87.96,87.96,2024-07-17 06:25:03
18659,7997,101,1,1157.72,1157.72,2025-03-23 21:12:27
10183,4357,183,1,91.53,91.53,2024-09-09 23:15:45
2963,1261,306,1,238.51,238.51,2025-02-01 15:41:38
12453,5321,84,1,349.94,349.94,2025-05-07 11:42:50
20914,8932,134,1,,,2023-07-09 13:12:58
14400,6170,240,0,325.14,325.14,2024-10-23 09:02:30
17218,7341,121,UNKNOWN,830.69,,2025-05-16 22:20:22
13272,5675,1000162,1,260.26,#REF!,2025-02-04 05:23:09
18016,7705,293,1.00000000000001,,944.59,2025-06-14 07:49:28
20451,8741,254,1,697.48,697.48,2024-04-06 19:00:02
4371,1848,92,3,455.3,,2025-05-24 09:05:30
9764,4176,357,,31.38,62.76,2025-01-30 21:57:48
11176,4791,474,1,212.23,212.23,N/A
14919,6386,39,,1448.85,1448.85,2025-06-26 23:37:24
12084,5173,92,1,455.3,455.3,2022-11-13 07:48:01
7561,3231,244,,44.58,89.16,2025-04-19 05:28:41
15318,6551,377,2,1964.55,3929.1,2025-04-11 09:31:01
11933,5117,168,1,141.45,141.45,2025-02-21 13:25:34
16068,6863,374,2,-123.47,246.94,2025-04-06 00:50:20
12518,5348,424,1,,37.76,2025-07-02 16:34:00
9617,4114,13,1,943.45,943.45,  2023-12-04 01:06:48  
16141,6888,244,2,44.58,,  2025-01-28 19:29:59  
21548,9203,343,,1919.46,N/A,2024-09-01 17:34:35
14288,6119,47,-1,720.28,720.28,2023-04-18 01:18:38
4067,1726,213,1,not available,356.59,2025-05-15 23:02:10
7227,3092,442,1,336.88,336.88,2024-07-09 19:37:03
8481,3635,23,N/A,695.09,695.09,2025-07-01 20:15:02
1427,617,351,1,265.55,265.55,2023-10-21 04:47:04
16473,7024,450,1,$128.59,128.59,
8749,3744,36,1,703.48,null,2025-03-11 18:16:54
4896,2072,497,1000,10.68,-106.8,2025-07-03 00:36:59
16260,6941,89,2,#REF!,603.26,2024-05-18 05:08:14
19768,8457,283,,-2967.16,5934.32,2025-05-16 04:53:59
12551,5361,148,1,-1306.2,130.62,2025-03-04 12:29:53
6922,2964,143,1,132.29,132.29,EMPTY
702,302,330,1,1083.28,1083.28,2025-05-24 10:46:58
5061,2145,192,2,30.16,$60.32,2025-02-06 09:01:21
8649,3700,210,-1,260.26,,2024-02-01 23:28:57
4976,2107,57,2,N/A,412.58,2025-02-26 01:04:20 
5486,2322,146,2,759.65,1519.3,
9130,3907,209,1,80.37,80.37,2023-03-15 01:22:45
23358,9970,154,1,219.01,219.01,2024-08-30 02:05:09
9382,4015,392,2,1980.56,3961.12,2023-09-17 19:42:58
23263,9935,18,1,N/A,580.92,2024-05-24 22:11:22
16847,7191,287,1,1977.52,-19775.2,2024-11-04 19:10:00
14961,6403,332,2,760.93,1521.86,2022-01-21 19:49:13
13935,5972,489,2,74.04,148.08,#N/A
13422,5742,338,1,1558.49,Inf ,2025-03-10 06:04:03
12099,5180,397,2,760.45,1520.9,2025-01-18 00:06:46
20251,8660,126,1,766.95,766.95,#N/A
8383,3595,11,1,420.25,420.25,2025-06-10 16:30:01
14478,6206,2,1,1154.24,1154.24,2025-06-12 12:03:12
7405,3169,208,1,44.84,44.84,2025-01-15 13:48:51
288,120,206,3,-140.5,,2025-05-06 13:38:02
10426,4464,11,1,420.25,420.25,2024-11-11 22:06:27
10548,4516,475,2,117.44,234.88,  2025-04-25 19:58:41  
17035,7265,181,1,,14.97,2025-05-07 05:13:24
5901,2511,167,1,342.58,342.58,2025-01-18 21:06:50
19742,8447,127,1,781.15,781.15,2025-06-08 12:51:00
16480,7027,56,1,1102.12,1102.12,2024-05-17 18:16:09
14776,6326,70,2,,1783.94,2025-06-27 17:18:53
17773,7598,121,2,830.69,-1661.38,2025-03-04 21:53:22
11836,5072,416,$2.00,20.81,41.62,2024-05-03 05:59:34
13567,5811,376,1,404.63,404.63,2025-05-19 13:03:12
18399,7877,163,1,443.82,443.82,2024-03-02 23:52:47
11550,4961,343,1,1919.46,1919.46,2025-04-15 13:40:40
16711,7129,28,,"2,380.28",2380.28,2025-07-07 00:57:51
2475,1051,49,,1546.73,$3093.46,  2025-01-16 20:51:12  
21352,9118,433,1,114.89,-11489,2024-07-16 11:34:48
11015,4716,180,1,#REF!,34.7,2025-04-02 02:49:49
13672,5855,47,-1,true,720.28,2025-05-09 21:08:24
18807,8064,421,2,#N/A,33.72,2025-06-27 04:42:43
1206,519,439,99999,155.04,155.04,2024-09-03 08:25:17
5039,2135,445,None,280.72,280.72,2025-01-24 10:13:57
14111,6043,272,2,910.21,1820.42,2025-05-19 13:42:26
8310,3563,38,2,$2623.56,5247.12,2025-06-15 16:34:02
5587,2368,1000145,1,89.93,89.93,3025-06-02 18:23:39
6993,2995,279,1,1280.78,1280.78,2025-03-16 01:17:48
20656,8830,444,1,330.71,330.71,
3887,1649,23,1,695.09,-69509,2024-08-03 18:41:32
19966,8536,180,1,34.7,34.7,2023-02-17 06:27:01
23022,9837,150,1,754.67,$754.67,
12412,5304,20,2,-242.45,484.9,2025-02-22 05:39:08
19909,8514,391,1,1039.89,1039.89,#N/A
9932,4244,362,2,331.17,662.34,2025-04-12 15:37:35
22088,9432,36,1,703.48,703.48,2025-02-22 23:11:28,extra_col_value
17346,7402,444,2,-330.71,661.42,2025-01-26 01:11:04
371,156,499,2,-28.8,57.6,2025-02-02 09:37:24
2521,1068,461,2,-87.96,-175.92,2024-01-13 09:54:13
263,108,384,1,133.8,133.8,
22217,9491,211,2,409.14,818.28USD,2024-09-01 14:00:04
17619,7529,493,1,15.58,15.58,2025-05-01 04:54:11
18346,7854,143,1,132.29,132.29,2024-12-15 01:13:55
16249,6935,94,1,445.98,445.98,2025-01-13 00:41:21
5908,2514,168,1,141.45,141.45,3025-06-05 23:39:07
5824,2478,388,2,1928.25,3856.5,2025-02-09 19:41:22
740,320,201,2,385.26,770.52,2025-05-24 10:20:41
11724,5028,45,1,1644.72,,
12234,5232,356,1,287.96,287.96,2025-01-09 15:38:35,extra_col_value
12937,5526,17,1,1422.94,1422.94,2024-07-05 04:34:00
1154,493,323,3,501.23,1503.69,
21321,9105,30,1,2976.37,-29763.699999999997,2025-02-15 20:10:35
22448,9592,65,1,-3077.2000000000003,307.72,2025-04-24 06:08:44
17735,7583,124,2,268.15,-53629.99999999999,2024-07-18 06:09:54
13627,5836,381,2,983.8,1967.6,2023-01-07 22:24:54
7393,3163,451,2,137.33,,2025-04-28 14:41:21
9926,4242,183,2,91.53,183.06,2025-05-16 18:49:31
10266,4397,425,1USD,36.31,36.31,2025-01-01 16:50:13
15241,6521,163,2,443.82,887.64,2025-02-05 05:34:53
18318,7841,226,2,56.08,,2025-04-16 20:18:28
3196,1365,9,null,1261.67,-1261.67,2025-06-14 15:21:51
23381,9981,140,null,286.85,286.85,2024-02-12 12:29:12
1637,702,291,true,182.59,365.18,2025-06-24 22:43:40
9780,4184,1,1,-48478,484.78,2025-06-05 02:19:39
12178,5210,487,2,31.36,-62.72,2024-12-13 00:52:19
4566,1928,240,null,325.14,-32514,2025-05-19 19:14:13
17741,7585,199,1,58.81,-588.1,2025-05-28 15:48:51
14140,6053,430,2,383.84,767.68,2025-04-08 23:22:51
8874,3799,464,3,,860.85,2025-04-16 22:45:58
22445,9591,205,,222.12,444.24,2025-03-01 05:55:48
1050,452,113,2,2144.16,4288.32,2024-08-20 07:44:27
19584,8382,333,2,1273.12,2546.24,2025-04-02 10:29:42
17151,7313,129,1,,359.53,
4993,2114,441,1,-3707.7999999999997,370.78,2023-03-24 13:20:32
7629,3262,255,1,972.72,972.72,2025-03-19 01:53:36
21590,9223,198,2,47.13,,
18073,7737,20,,242.45,242.45,1749375510
13830,5930,376,-2,,809.26,2025-04-20 03:54:35
15107,6463,301,1,124.87,-1248.7,2025-01-21 16:51:33
12510,5344,282,2,,2356.84,2025-04-03 08:38:54
5785,2458,369,1,147.14,147.14,2024-10-09 01:32:53
7592,3247,491,1,42.61,N/A,2025-05-13 14:00:56
9506,4066,500,2,12.03USD,,2025-04-22 04:16:36
11949,5121,425,2,36.31,72.62,2025-03-14 13:35:42
11133,4771,374,1,123.47,123.47,2025-05-14 03:05:21
1645,707,94,abc,445.98,445.98,2025-04-11 09:54:54
4217,1785,367,1,,135.42,2024-07-02 14:36:47
4979,2108,196,1,37.36,37.36,2025-03-14 12:51:19
7434,3180,23,1,0,695.09,2024-02-19 18:13:02
6937,2971,54,1,592.71,592.71,2022-04-03 18:29:49
13271,5675,355,-1,123.99,123.99,2025-02-04 05:23:09
9510,4067,391,None,,1039.89,2025-03-28 10:12:40
17604,7523,381,,,,2024-07-28 22:46:03
14649,6278,301,2,124.87000000000002,249740,2025-06-28 19:02:26
16437,7008,261,1,275.33,275.33,2024-05-23 14:15:59
499,214,188,2,82.53,165.06,2025-05-25 18:39:11
22397,9564,167,1,342.58,342.58,2023-04-10 23:31:33
19513,8354,437,abc,Inf,736.65,2025-05-01 21:49:21
14350,6149,411,,25.29,N/A,EMPTY
4182,1771,295,2,2337.98,4675.96,2024-05-25 14:35:52
4091,1736,481,3000,75.04,225.12,2025-01-26 13:19:44
9090,3885,63,1,1194.69,1194.69,2025-07-12 10:18:03
7262,3104,364,,168.52,168.52,2025-04-22 11:48:01
15671,6692,397,2,760.45,1520.9,2025-01-05 22:06:11
19996,8548,357,1,31.38,,2025-06-23 23:43:36
6969,2985,34,2,441.2,882.4,2025-05-28 17:13:49
