id,product_id,customer_id,order_id,rating,title,comment,is_verified,created_at
679,196,3731,9379,4,Solid purchase,null,true,2024-04-25 16:54:18
444,352,173,9501,4,"Good quality
",,true_typo,2025-01-28 09:35:32
205,367,596,2618,2,UUndeerwheelmiing,Not great. The product works sometimes but is unreliable. I've had to restart it multiple times. Considering returning it.,true,2023-01-19 21:35:45
3704,234,3426,2827,5,Five stars all the way,"I've tried many similar products but this one stands out. The features are great, the design is modern, and it just works flawlessly.",true,2025-06-19 11:32:56
3191,372,1000004,9379,3,"Not bad, not great",Does what it says but nothing more. Adequate for basic needs. The design is okay but not as premium-feeling as I hoped.,,
1424,435,2995,7076,4,  Mostly impressed  	,Works great for what I need. The interface is intuitive and the battery lasts all day. Just wish the charging cable was longer.,,None
156,80,2640,5115,5,Exceeded e... ,This product has been incredible. The build quality is top-notch and it works exactly as advertised. I use it daily and couldn't be happier with my purchase.,true,2022-08-30 13:49:55
3899,498,1065,3792,3,  It's okay  	,Does what it says but nothing more. Adequate for basic needs. The design is okay but not as premium-feeling as I hoped.,true,2024-06-26 16:38:47
1108,207,2533,2020,-1,Below exp...,,true,2025-01-07 23:10:28
2719,227,3768,522,,Best purchase ever,"I've tried many similar products but this one stands out. The features are great, the design is modern, and it just works flawlessly.",true_typo,2023-09-11 17:00:00
2323,158,2720,8217,5,Worth every penny,This product has been incredible. The build quality is top-notch and it works exactly as advertised. I use it daily and couldn't be happier with my purchase.,true,2024-03-21 12:47:03
827,489,2768,999998,5,Exceeded expectations,"AAfteer moonths oof uusee, thiis stiill peerfoorms liikee daay oonee. EExceelleent baatteery liifee, sleeeek deesiign, aand thee cuustoomeer suuppoort waas heelpfuul wheen II haad aa quuiick quueestiioon.",TRUE,2024-08-24 14:24:54
2965,335,1507,7772,2,Disappointed,Had high expectations based on the reviews but this fell short. Build quality feels cheap and I've experienced intermittent connectivity issues.,true,2024-12-07 02:46:08
1123,32,4858,9855,4.01,Mostly impressed,Great value for the price. Build quality is solid and it does everything I need. Wish it came in more color options though.,true,"Jan 21, 2024"
1278,12,3545,5195,5,Amazing product,This product has been incredible. The build quality is top-notch and it works exactly as advertised. I use it daily and couldn't be happier with my purchase.,true,
3480,191,4459,6841,2,  Underwhelming  	,Pretty disappointed with this purchase. The product looks nice but performance is underwhelming. Battery life is much shorter than advertised.,true,2024-01-17 15:02:25
2598,324,105,2671,2,Poooor quuaaliity,Not great. The product works sometimes but is unreliable. I've had to restart it multiple times. Considering returning it.,true,2025-04-08 23:53:04 
1372,344,1840,5520,3,Does the job,Mixed feelings. The main features work well but there are some quirks t...,true,2025-07-20 21:02:54
3054,197,2303,2,5,  Outstanding quality  	,"After months of use, this still performs like day one. Excellent battery life, sleek design, and the customer support was helpful when I had a quick question.",true,
3249,45,4396,4501,3,It's okay,Does what it says but nothing more. Adequate for basic needs. The design is okay but not as premium-feeling as I hoped.,true,11.02.2024
2249,440,4347,6914,null,Avoid this,Absolute garbage. Nothing works as described. The battery dies in hours and the screen has dead pixels. Requesting a full refund.,true,2025-03-01 05:42:47
1348,4,4782,8610,3,Mixed feelings,It's a decent product for the price. Nothing spectacular but it gets the job done. The build quality feels a bit cheap compared to competitors.,true,2025-05-21 00:30:06
2459,216,2450,568,4,Would buy again,Very satisfied with this purchase. Performance is reliable and it looks great. Knocked off one star because shipping took longer than expected.,true,2025-04-19 22:48:50
2,415,3594,2621,4,UNKNOWN,"Really good product overall. The only minor issue is the setup instructions could be clearer, but once you get it going, it's fantastic.",true_typo,3025-07-15 19:25:28
3714,460,2725,3332,5,Worth every penny,"AAfteer moonths oof uusee, thiis stiill peerfoorms liikee daay oonee. EExceelleent baatteery liifee, sleeeek deesiign, aand thee cuustoomeer suuppoort waas heelpfuul wheen II haad aa quuiick quueestiioon.",true,2025-05-09 08:00:25
987,223,1723,3261,4,,Very satisfied with this purchase. Performance is reliable and it looks great. Knocked off one star because shipping took longer than expected.,,2025-02-24 10:05:52
1914,176,4505,6182,0,,"Really good product overall. The only minor issue is the setup instructions could be clearer, but once you get it going, it's fantastic.",true,2024-11-25 02:40:30
1193,203,4651,2668,0,,Greeaat vaaluuee foor thee priicee. Buuiild quuaaliity iis sooliid aand iit dooees eeveerythiing II neeeed. Wiish iit caamee iin mooree cooloor ooptiioons thoouugh.,true_typo,2025-03-07 00:19:33
2380,415,1114,8881,,Not worth it,Pretty disappointed with this purchase. The product looks nice but performance is underwhelming. Battery life is much shorter than advertised.,true,2025-04-07 20:39:51
2936,55,439,8763,10,Mixed feelings,It's a decent product for the price. Nothing spectacular but it gets the job done. The build quality feels a bit cheap compared to competitors.,true,2025-04-04 05:01:03
321,312,1046,644,2,"Disappointed
",Had high expectations based on the reviews but this fell short. Build quality feels cheap and I've experienced intermittent connectivity issues.,true,2025-03-19 02:06:00
371,305,3043,2240,,"Very good, minor issues",Very satisfied with this purchase. Performance is reliable and it looks great. Knocked off one star because shipping took longer than expected.,true,2025-04-11 05:56:53
832,491,1391,3130,3,Does the job,"Mixed feelings. The main features work well but there are some quirks that can be annoying. Customer service was responsive when I reached out.
",true_typo,2025-05-10 08:45:54
3495,358,3043,792,1,Do not buy,AAbsooluutee gaarbaagee. Noothiing woorks aas deescriibeed. Thee baatteery diiees iin hoouurs aand thee screeeen haas deeaad piixeels. Reequueestiing aa fuull reefuund.,true,
3814,204,2076,9558,-1,Complete waste of money,"Absolute garbage. Nothing works as described. The battery dies in hours and the screen has dead pixels. Requesting a full refund.
",true,2025-01-07 14:39:18
303,361,1,629,-1,Nice product,Great value for the price. Build quality is solid and it does everything I need. Wish it came in more color options though.,,N/A
3650,107,4890,918,1,Worst purchase,Do not buy this. It barely functions and the build quality is the worst I've seen. Save your money and go with a different brand.,true ,2023-04-10 06:55:47
274,267,367,9962,,Highly recommend!,"After months of use, this still performs like day one. Excellent battery life, sleek design, and the customer support was helpful when I had a quick question.",true,2024-01-18 21:15:13
1909,13,949,5712,4,Good quality,Works great for what I need. The interface is intuitive and the battery lasts all day. Just wish the charging cable was longer.,true,2025-08-04 01:46:07
2806,157,1589,6648,NaN,AAbsooluuteely loovee iit!,"After months of use, this still performs like day one. Excellent battery life, sleek design, and the customer support was helpful when I had a quick question.",true,2024-11-09 02:44:16
3439,453,124,5584,-3,Decent for the price,DOES WHAT IT SAYS BUT NOTHING MORE. ADEQUATE FOR BASIC NEEDS. THE DESIGN IS OKAY BUT NOT AS PREMIUM-FEELING AS I HOPED.,true,2025-07-09 09:53:12
2114,349,257,1829,2,Disapp...,Below average. The features sound great on paper but the execution is lacking. Wouldn't recommend at this price point.,true,2025-07-19 12:38:06
2961,490,2486,4717,3,It's okay,It's a decent product for the price. Nothing spectacular but it gets the job done. The build quality feels a bit cheap compared to competitors.,true,00/00/0000
3862,199,1496,8509,5,Amazing product,"After months of use, this still performs like day one. Excellent battery life, sleek design, and the customer support was helpful when I had a quick question.",TRUE,TBD
883,239,4270,2541,10,Highly recommend!,Arrived quickly and was packaged well. Setup was super easy and performance has been excellent. Definitely getting another one for my family.,true,2025-06-10 17:46:58
2635,35,3779,8449,1,Complete waste of money,Complete waste of money. Stopped working after just two weeks. Tried contacting support and got no response. Avoid at all costs.,true,2025-06-27 19:52:23
2049,419,1796,3678,4,,Works great for what I need. The interface is intuitive and the battery lasts all day. Just wish the charging cable was longer.,true,2024-12-18 08:18:30
2366,431,3005,1010,N/A,Does the job,Does what it says but nothing more. Adequate for basic needs. The design is okay but not as premium-feeling as I hoped.,true,not a date
3960,458,553,7528,4,,  Great value for the price. Build quality is solid and it does everything I need. Wish it came in more color options though.  	 ,true,2024-03-12 12:31:52
3333,341,2178,4956,3,Mixed feelings,Average product. Works as described but I expected a bit more given the price point. It's fine for casual use but power users might want something better. ,true,
2200,351,3073,7968,2,Poor q...,Below average. The features sound great on paper but the execution is lacking. Wouldn't recommend at this price point.,true,2025-04-25 20:14:36
1161,270,4118,7684,-1,None,Great value for the price. Build quality is solid and it does everything I need. Wish it came in more color options though.,true,2025-06-03 16:25:03
2382,157,2929,4452,5,Exceeded expectations,Arrived quickly and was packaged well. Setup was super easy and performance has been excellent. Definitely getting another one for my family.,,2024-12-04 01:45:01
1374,40,2960,9355,5,Worth every penny,Arrived quickly and was packaged well. Setup was super easy and performance has been excellent. Definitely getting another one for my family.,TRUE,2023-06-18 05:06:27
3107,58,4008,4177,1,Do not buy,DO NOT BUY THIS. IT BARELY FUNCTIONS AND THE BUILD QUALITY IS THE WORST I'VE SEEN. SAVE YOUR MONEY AND GO WITH A DIFFERENT BRAND.,TRUE,2025-05-16 09:30:35
3588,419,979,9388,5,Worth every penny,This product has been incredible. The build quality is top-notch and it works ...,true,2025-05-17 02:56:47
3066,271,55,5706,3,"Decent for the price
",Dooees whaat iit saays buut noothiing mooree. AAdeequuaatee foor baasiic neeeeds. Thee deesiign iis ookaay buut noot aas preemiiuum-feeeeliing aas II hoopeed.,true,2023-08-05 20:50:59
3782,407,1968,7484,-4,Solid purchase,Very satisfied with this purchase. Performance is reliable and it looks great. Knocked off one star because shipping took longer than expected.,true,03-13-2025
2979,219,2498,7604,0,"Mostly impressed
",Great value for the price. Build quality is solid and it does everything I need. Wish it came in more color options though.,  true  ,2025-01-03 07:43:54
3137,461,340,8395,2,Could be better,,true,2025-03-27 10:56:24
590,224,1389,691,1,Do not buy,,true,2024-07-23 03:33:54
99,92,105,2671,1,,,true,2025-05-06 23:53:04
1592,396,763,9483,-1,Great product overall,WORKS GREAT FOR WHAT I NEED. THE INTERFACE IS INTUITIVE AND THE BATTERY LASTS ALL DAY. JUST WISH THE CHARGING CABLE WAS LONGER.,true,
163,385,3152,2636,4,Would buy again,"Really good product overall. The only minor issue is the setup instructions could be clearer, but once you get it going, it's fantastic.",EMPTY,2025-02-22 13:05:13
2932,457,1958,2959,null,,Average product. Works as described but I expected a bit more given the price point. It's fine for casual use but power users might want something better.,,2025-07-15 07:35:29
1013,187,2730,7184,4,,Very satisfied with this purchase. Performance is reliable and it looks great. Knocked off one star because shipping took longer than expected.,true,2023-02-08 19:33:45
2133,18,1035,3516,2,DISAPPOINTED,Pretty disappointed with this purchase. The product looks nice but performance is underwhelming. Battery life is much shorter than advertised.,true,2023-12-24 16:17:31
2872,378,3339,3613,3,Average...,Mixed feelings. The main features work well but there are some quirks that can be annoying. Customer service was responsive when I reached out. ,true,TBD
847,51,4700,2331,5,Worth every penny,This product has been incredible. The build quality is top-notch and it works exactly as advertised. I use it daily and couldn't be happier with my purchase.,,2024-02-22 15:56:14
3432,96,1686,2438,5,Outstanding quality,Arrived quickly and was packaged well. Setup was super easy and performance has been excellent. Definitely getting another one for my family.,TRUE,2025-04-26 17:58:40
2132,12,3152,2636,UNKNOWN,Underwhelming,Pretty disappointed with this purchase. The product looks nice but performance is underwhelming. Battery life is much shorter than advertised.,EMPTY,2025-04-09 13:05:13
