id,order_id,payment_method,amount,status,transaction_id,paid_at,created_at
8348,8348,paypal,$3392.22,completed,,2024-12-01 11:50:21,2024-12-01 11:41:46
6489,6489,,399.31,refundedd,TXN-MNQBMAXK-KADAMI,2022-12-18 07:26:00,2022-12-18 07:20:26
8550,8550,paypal,5030.94,completed,TXN-MNQBMAXQ-3STQL1,2025-05-28 04:21:38,2025-05-28 04:14:46
3696,3696,credit_card,1508.3,completed,TXN-MNQBMAXD-CV69N3,2024-12-21 01:58:21,2024-12-21 01:51:28
7083,7083,apple_pay,1053.87,completed,  TXN-MNQBMAXL-TH7VTW  	,,2023-08-13 15:49:28
1511,1511,google_pay,333.63,--,TXN-MNQBMAX6-A3VQG7,2024-08-18 02:47:34,2024-08-18 02:39:43
3792,3792,,2888.6,complted,TXN-MNQBMAXD-X6CVCL,2024-05-26 16:47:09,2024-05-26 16:38:47
8532,8532,apple_pay,-38201.4,completed,TXN-MNQBMAXQ-N4FV23,2024-09-23 10:02:17,2024-09-23 09:57:16
7088,7088,debit_card,2171.18,completed,TXN-MNQBMAXL-MW9XCG,2024-10-06 10:12:29,2024-10-06 10:05:42
3028,3028,paypal,2094.68,completed,TXN-MNQBM...,2023-01-29 11:55:23,2023-01-29 11:48:25
5184,5184,,1825.56,,TXN-MNQBMAXH-9I1NZD,,2025-02-19 08:12:58
9057,9057,debit_card,1501390,completed,TXN-MNQBMAXR-19ANBZ,2025-04-22 06:23:53,2025-04-22 06:14:15
3063,3063,google_pay,3256.29,completed,TXN-MNQBMAXA-Z6OYNA,2025-03-19 21:57:43,2025-03-19 21:50:41
1428,1428,credit_card,1191.01,COMPLETED,TXN-MNQBMAX5-OOAGI0,2025-03-11 10:56:38,2025-03-11 10:54:26
5984,5984,credit_card,1519.52,completed,TXN-MNQBMAXJ-XJ19ZL,2024-12-09 19:07:25,  2024-12-09 19:06:40  
8402,8402,debit_card,48.08,completed,TXN-MNQBMAXP-16Z0SG,2025-01-23 07:00:57,2025-01-23 06:53:11
2142,2142,paypal,$1335.44,completed,TXN-MNQBMAX7-UL6BRP,2025-02-22 08:33:27,2025-02-22 08:25:01
6021,1000116,PAYPAL,7622.5,refunded,TXN-MNQBMAXJ-6CUWPJ,2023-03-25 08:20:59,2023-03-25 08:20:23
9524,9524,credit_card,669.23,completed,TXN-MNQBMAXS-6MM9TJ,2025-03-26 02:26:37,2025-03-26 02:26:09
8912,8912,credit_card,$2948.62,refunded,TXN-MNQBMAXR-1LRBYF,2024-03-01 06:13:39,2024-03-01 06:11:15
147,147,#N/A,N/A,completed,TXN-MNQBMAX0-J16Z2Z,2025-01-28 08:26:03,2025-01-28 08:25:35
9699,9699,credit_card,1721.51,completed,TXN-MNQBMAXT-TEYORA,2025-02-06 20:11:03,2025-02-06 20:04:23
3866,3866,credit_card,1700.07,completed,TXN-MNQBMAXD-23RM6C,,2025-06-26 16:52:25
2357,2357,credit_card,121.86,completed,TXN-MNQBMAX8-Z96OVB,,2025-03-28 11:08:50
8245,8245,paypal,,completed,TXN-MNQBMAXP-35FF0D,2025-02-21 15:26:11,2025-02-21 15:20:31
7074,7074,credit_card,887.76,completed,,2024-04-24 03:16:58,
722,722,debit_card,1726.05,pending,N/A,,2024-12-11 05:13:55
9001,9001,credit_Card,429.17,completed,TXN-MNQBMAXR-9WEIJW,2025-03-23 15:42:11,2025-03-23 15:37:54
4791,4791,paypal,0,,TXN-MNQBMAXG-1YLOP6,2025-06-03 00:47:33,2025-06-03 00:38:03
4063,4063,debit_card,665.36,completed,,2024-01-12 21:37:11,2024-01-12 21:35:52
6098,6098,debit_card,,completed,TXN-MNQBMAXJ-WCMTOG,2025-06-25 04:10:55,2025-06-25 04:10:47
1552,1552,credit_card,3483.83,refunded,TXN-MNQBMAX6-2968DL,,2023-06-09 07:58:45
2078,2078,CREDIT_CARD,277.26,completed,TXN-MNQBMAX7-PG30G3,,2025-04-06 05:12:06
5879,5879,debit_card,442.89,Completed,TXN-MNQBMAXI-K6BGN2,
699,699,paypal,300.34,completed,TXN-MNQBMAX2-TYODOD,2024-10-07 13:20:10,2024-10-07 13:14:12
6678,6678,apple_pay,2139,failed,TXN-MNQBMAXK-GNRA81,,2025-02-06 12:18:06
7072,7072,credit_card,,completed,TXN-MNQBMAXL-MCA51T,2025-01-01 06:35:10,2025-01-01 06:33:06
4425,4425,  debit_card  ,2052.14,completed,TXN-MNQBMAXF-FUZFZ9,2024-01-08 03:22:50,2024-01-08 03:20:00
387,387,credit_card,,completed,,2025-05-13 14:53:04,2025-05-13 14:47:05
8541,8541,paypal,277.11,COMPLETED,,2025-04-28 03:50:34,
3545,3545,debit_card,1671.97,completed,TXN-MNQBMAAXC-0S389F,2025-05-13 02:13:20
887,887,debit_card,142.57,completd,TXN-MNQBMAX3-PTLR4B,2025-03-26 10:38:07,2025-03-26 10:33:57
144,144,debit_card,7742.16,completed,TXN-MNQBMAX0-6OLM4M,2025-06-10 14:53:41,2025-06-10 14:52:22
9916,9916,credit_card,2782.49,completed,  TXN-MNQBMAXT-0ROSOA  	,2025-02-09 15:30:29,2025-02-09 15:22:36
4217,4217,PAYPAL,$4358.09,COMPLETED,TXN-MNQBMAXE-IS2YA3,2025-06-06 18:27:49,2025-06-06 18:19:10
4210,1000188,apple_pay,-60.57,completed,N/A,2024-02-16 10:33:59,2024-02-16 10:27:37
3000,3000,credit_card,2676.49,Completed,TXN-MNQBMAXA-K3YAAT,2025-02-13 12:41:25,3025-02-13 12:37:22
462,462,,-1907.51,  completed  ,,2025-04-11 09:33:21,2025-04-11 09:31:49
909,909,apple_pay,-312264,completed,TXN-MNQBMAX3-ZSUFUL,2024-03-08 09:18:15,2024-03-08 09:12:45
7415,7415,PAYPAL,1142.73,completed,TXN-MNQBM...,,2024-09-03 07:11:48
3453,3453,paypal,168.27,completed,TXN-MNQBMAXC-AYGEQ3,2025-02-08 17:57:44,2025-02-08 17:49:29
3439,3439,credit_card,282.61,completed,TXN-MNQBMAXC-BPODTF,2025-01-17 17:53:37,2025-01-17 17:50:09
1341,1341,debit_card,,completed,TXN-MNQBMAX5-C4AI6R,2023-12-09 06:10:58,2023-12-09 06:05:06
3055,3055,credit_card,829.96,completed,TXN-MNQBMAXA-SH7NXQ,2025-02-03 11:54:20,2025-02-03 11:51:04
3197,3197,credit_card,1296.84,completed,TXN-MNQBMAXB-XLH4J4,2025-04-21 20:06:17,2025-04-21 19:58:28,extra_col_value
1930,1930,,71.83,completed,TXN-MNQBMAX7-RVFVNA,2024-05-03 07:30:16,2024-05-03 07:26:53
8507,8507,credit_card,472.68,completed,"TXN-MNQBMAXP-MR9HII
",2025-07-12 15:56:54,2025-07-12 15:54:31
1657,1657,debit_card,,completed,TXN-MNQBMAX6-PD2NZO,2023-10-04 13:54:05,2023-10-04 13:47:29
8719,8719,credit_card,171.58,completed,TXN-MNQBMAXQ-OVLFXZ,2024-11-08 08:21:23,2024-11-08 08:16:15
1321,1321,debit_card_typo,275.92,refunded,TXN-MNQBMAX5-HJJGVY,2025-01-22 18:14:35,2025-01-22 18:09:47
4407,4407,apple_pay,7424.99,completed,N/A,2024-11-15 14:40:30,2024-11-15 14:35:58
2897,2897,null,2744.88,,TXN-MNQBMAXA-HH4MP6,2024-05-18 08:37:32,2024-05-18 08:34:35
9651,9651,DEBIT_CARD,270.59,completed,,2025-06-22 12:39:11,2025-06-22 12:31:39
7590,7590,debit_card,4132.32,Refunded,TXN-MNQBMAXN-O8PZRN,2024-12-04 15:13:34,2024-12-04 15:11:01
1943,1943,credit_card ,104.09,completed,  TXN-MNQBMAX7-7JBRDK  	,2025-04-12 00:14:47,2025-04-12 00:08:30
4662,4662,google_pay,,completed,TXN-MNQBMAXF-CKX7KA,2024-04-20 07:39:18,
8078,8078,paypal,1591.02,completed,TXN-MNQBMAXO-UHZWSG,2025-04-14 04:01:45,2025-04-14 03:55:01
1725,1725,apple_pay,342.88,completed,TXN-MNQBMAX6-76M0MT,2024-01-10 02:39:35,2024-01-10 02:31:31
4827,4827,debit_card,958.65,completed,TXN-MNQBMAXG-7YHNEG,2024-04-10 11:44:30,2024-04-10 11:37:11
9260,9260,credit_card,1326.54,completd,TXN-MNQBMAXS-XYEACN,2025-02-08 23:15:27,2025-02-08 23:13:14
7780,7780,paypal_typo,1563.24,completed,TXN-MNQBMAXN-DEA1RR,2023-09-28 22:33:54,2023-09-28 22:31:40
1635,1635,credit_card,-117501,completed,TXN-MNQBMAX6-69I394,2025-05-14 12:16:29,2025-05-14 12:12:03
4414,4414,PAYPAL,1075.08,completd,TXN-MNQBMAXF-8TW7MD,,2025-06-05 10:57:24
9287,9287,apple_pay,967.23,completed,,2025-05-05 05:42:16,
4319,4319,debit_card,732.89,completed,TXN-MNQBMAXE-WKG7EJ,2025-06-15 14:13:23,2025-06-15 14:11:32
180,180,,2569.9,pending,EMPTY,,2025-02-23 16:36:57
9979,1000072,debit_card_typo,-242.62,,  TXN-MNQBMAXU-VCCL33  	,2024-12-28 10:56:23,2024-12-28 10:47:00
