id,category_id,name,description,sku,price,cost,stock_quantity,brand,weight,is_active,created_at,updated_at
130,6,Apple Watch Ultra 2,Apple Watch Ultra 2 - High quality smartwatches product,SMA-APP-67441,697.8,-551.67,,Apple,0.03,true,11.06.2022,2022-06-11 18:25:00
243,10,Crucial 25...,Crucial 256GB microSD - High quality storage product,--,176.34,119.08,204,,0.76,true,2022-02-20 12:37:00
53,3,"Apple Tab A9
",Apple Tab A9 - High quality tablets product,TAB-APP-14312,1205.87,582.07,454,  Apple  	,1.33,true,2024-01-10 21:47:00,2024-01-10 21:47:00
395,16,Parrot EVO Nano+,,DRO-PAR-68916,637.32,509.14,490,Parrot,1.33,true_typo,2024-06-25 00:44:00,2024-06-25 00:44:00
45,2,"Apple Chromebook 14""","Apple Chromebook 14"" - High quality laptops product",LAP-APP-16252,,1088.13,287,,5.04,TRUE,2022-09-05 16:25:00,2022-09-05 16:25:00
239,10,  SanDisk 2TB External HDD  	,SaanDiisk 2TB EExteernaal HDD - Hiigh quuaaliity stooraagee prooduuct,STO-SAN-78514,125.36,89.07,13,SanDisk,0.33,true,2024-12-07 18:46:00,2024-12-07 18:46:00
352,15,Google Security Camera,Google Security Camera - High quality smart home product,SMA-GOO-90562,230.94,135.67,396,Google,0.67,true,2022-04-05 20:51:00,2022-04-05 20:51:00
148,6,"Apple Venu 3
",Apple Venu 3 - High quality smartwatches product,SMA-APP-35045,abc,52.32,430,Apple,0.08,true,2022-04-12 22:04:00,2022-04-12 22:04:00
282,12,"BENQ 24"" FHD MONITOR","BenQ 24"" FHD Monitor - High quality tvs & monitors product",TVS-BEN-39478,1178.42,793.98,137,BenQ,$17.98,true,2023-06-04 06:59:00,"Jun 4, 2023"
85,4,Bose Sport Earbuds,BOSE SPORT EARBUDS - HIGH QUALITY HEADPHONES PRODUCT,HEA-BOS-53383,468.78,257.77,267,,0.39,true,2023-02-23 05:26:00,02-23-2023
30,2,"HP Air 13""","HP Air 13"" - High quality laptops product",LAP-HP-41752,2976.37,2226.13,363,  HP  	,5.12,true,2024-03-11 23:05:00,2024-03-11 23:05:00
431,18,"McAfee QuickBooks Online
",McAfee QuickBooks Online - High quality software product,SOOF-MCAA-75147,EMPTY,69.33,$19.00,"McAfee
",0.08,true,2022-06-22 11:11:00,2022-06-22 11:11:00
54,3,,Amazon Tab A9 - High quality tablets product,TAB-AMA-66136,592.71,343.43,N/A,Amazon,830,true,2022-07-20 04:59:00,2022-07-20 04:59:00
485,20,Casetify Impact Case,Casetify Impact Case - High quality phone cases product,PHO-CAS-82925,43.14,18.32,,Case...,0.11,null,2024-01-25 09:07:00,2024-01-25 09:07:00
396,16,Autel Mavic 3 Classic,N/A,DRO-AUT-80403,1849.21,977.99,423,  Autel  	,TBD,,2022-03-03 10:58:00,2022-03-03 10:58:00
222,9,Google WiFi Adapter,Google WiFi Adapter - High quality networking product,NET-GOO-60834,361.82,196.43,123USD,Google,1.01,false,2024-02-22 15:02:00,02-22-2024
500,20,Apple Tough Armor,Apple Tough Armor - High quality phone cases product,PHO-APP-27958,12.03,8.46,356,Apple,0.13,true,2023-05-02 11:01:00,2023-05-02 11:01:00
408,17,,  Apple USB-C to USB-A 3-Pack - High quality cables & adapters product  	,CAB-APP-26940,37.12,16.81,None,Apple,0.05,true,2024-09-26 16:48:00,2024-09-26 16:48:00
62,3,"Microsoft Pro 12.9""","Microsoft Pro 12.9"" - High quality tablets product",TAB-MIC-44313,862.23,586.75,229,  Microsoft  	,1.35,true,,2023-12-12 10:57:00
342,14,EVGA Ryzen 9 CPU,EVGA Ryzen 9 CPU - High quali...,COM-EVG-45541,1054.66,722.03,453,,2.4,true,2022-02-05 22:31:00,2022-02-05 22:31:00
411,17,Belkin USB-C Hub 7-in-1,BELKIN USB-C HUB 7-IN-1 - HIGH QUALITY CABLES & ADAPTERS PRODUCT,CAB-BEL-55854,25.29,15.22,241,,0.27,,TBD,2023-07-18 10:34:00
293,12,"LG 43"" SMART TV",,TVS-LG-48374,944.59USD,,131,LG,13.66,true,null,2022-04-15 02:26:00
242,10,Crucial 4TB Desktop HDD,Crucial 4TB Desktop HDD - High quality storage product,,78.69,-56.57,470,Crucial,0.11,null,not available,2022-11-11 00:21:00
99,4,Sony Air...,Sony AirPods Pro - High q...,HEA-SON-86618,516.44,295.12,470,Sony,0.11,true,2022-10-08 23:22:00,#N/A
310,13,,"Brother All-in-One Inkjet - High quality printers product
",PRI-BRO-95960,440.51,196.81,243,Brother,7.84,true,2022-03-08 10:01:00,
165,7,Razer Mechanical Keyboard,  Razer Mechanical Keyboard - High quality gaming product  	,,512.85,275.86,74,Razer,4.65,  true  ,2023-12-19 15:43:00,2023-12-19 15:43:00
413,17,Belkin USB-C t...,#N/A,None,10.08,6.42,63,Belkin,0.16,true,2022-07-09 02:16:00,#N/A
175,7,Sony Mechanical Keyboard,Sony Mechanical Keyboard - High quality gaming product,EMPTY,281.95,,140,Sony,,,2024-08-26 01:15:00,
330,14,Intel 850W PSU,Intel 850W PSU - High quality computer components product,COM-INT-87217,1083.28,748.75,404,Intel,0.64,true,2022-02-23 18:10:00,23.02.2022
348,14,Intel CPU Cooler AIO,Intel CPU Cooler AIO - High quality computer components product,,-21077,102.26,233,Intel,1.48,true,2023-02-08 13:41:00,2023-02-08 13:41:00
476,20,OtterBox Monarch Series,OtterBox Monarch Series - High quality phone cases product,PHO-OTT-48442,61.41,,-4910,OtterBox,$0.17,true,not a date,2022-04-27 13:56:00
136,6,Apple Venu 3,Apple Venu 3 - High quality smartwatches product,SMA-APP-49617,398.63,,178,Apple,,false,2024/03/05 11:54:00,2024-03-05 11:54:00
415,17,Apple HDMI 2.1 Cable 10ft,AApplee HDMII 2.1 Caablee 10ft - Hiigh quuaaliity caablees & aadaapteers prooduuct,CAB-APP-28000,47940,true,,Apple,0.14,,not available,2022-10-06 06:47:00
419,17,Cable Matters DisplayPort Cable,Cable Matters DisplayPort Cable - High quality cables & adapters product,,11.61,6.97,114,Cable Matters,0.06,true,2024-03-14 14:11:00,
214,9,Netgear Range Extender,Netgear Range Extender - High quality networking product,NET-NET-95376,Inf,282.2,76,,1.01,  true  ,2023-12-26 04:37:00,2023-12-26 04:37:00
223,9,TP-Link Access Point,,NET-TP--19351,238.09,134.94,,TP-Link,-103,true,2022-12-26 19:02:00,2022-12-26 19:02:00
210,9,Ubiquiti Mesh System 3-Pack,TBD,NET-UBI-20588,260.26,151.26USD,354,Ubiquiti,0.95,true,2024-03-28 08:29:00,2024-03-28 08:29:00
176,8,,  Spigen MagSafe Charger - High quality accessories product  	,ACC-SPI-50385,44.58,20.84,132,Spigen,0.14,true_typo,2023-12-09 17:24:00,2023-12-09 17:24:00
336,14,NVIDIA RTX 4070 GPU,NVIDIA RTX 4070 GPU - High quality computer components product,"COM-NVI-87804
",168.96,125.67,N/A,,-6.4,true,2022-09-10 17:14:00,2022-09-10 17:14:00
193,8,Anker MagSafe Charger,Anker MagSafe Charger - High quality accessories product,ACC-ANK-86898,???,not available,272,Anker,0.48,true,2024-04-06 08:09:00,2024-04-06 08:09:00
145,6,Samsung Pixel Watch 2,Samsung Pixel Watch 2 - High quality smartwatches product,"SMA-SAM-49179
",202.43,,,,Inf,true,2023-12-08 17:44:00,2023-12-08 17:44:00
345,14,  EVGA 32GB DDR5 RAM  	,EVGA 32GB DDR5 RAM - High quality computer components product,COM-EV...,1221.93,956.73,392,  EVGA  	,2.33,TRUE,2022-03-04 09:30:00,2022-03-04 09:30:00
421,17,Anker DisplayPort Cable,Anker DisplayPort Cable - High quality cables & adapters product,CAB-ANK-78195,-1686,,396,An...,0.28,true,2024-10-11 05:45:00,2024-10-11 05:45:00
236,10,Seagate 2TB External HDD,Seagate 2TB External HDD - High quality storage product,STO-SEA-78784,85.35,abc,383,Seagate,0.57,true,2022-03-28 14:50:00,2022-03-28 14:50:00
142,6,Garmin Venu 3,GARMIN VENU 3 - HIGH QUALITY SMARTWATCHES PRODUCT,SMA-GAR-87121,,337.64,339,Garmin,-0.04,true,2023-05-07 01:02:00,2023-05-07 01:02:00
385,16,Parrot Air 3,PARROT AIR 3 - HIGH QUALITY DRONES PRODUCT,DRO-PAR-70456,1813,1397.03,177,Parrot,-0.37,TRUE,2024-12-15 10:43:00,2024-12-15 10:43:00
146,6,Apple Forerunner 265,Apple Forerunner 265 - High quality smartwatches product,SMA-APP-97382,759.65,493990,254,Apple,0.09,true,2022-07-15 07:37:00,2022-07-15 07:37:00
36,2,,"Asus Chromebook 14"" - High quality laptops product",LAP-ASU-36568,703.48,311.57,390,  Asus  	,5.89,TRUE,2024-04-24 08:14:00,2024-04-24 08:14:00
262,11,Harman Kardon Home Speaker,Harman Kardon Home Speaker ...,AUD-HA...,448.21,232.23,201,Harman Kardon,2.78,false,2023-06-02 00:36:00,2023-06-02 00:36:00
309,13,Epson Wireless Laser,Epson Wireless Laser - High quality printers product,PRI-EP...,391.2,220.64,353,TBD,19.63,true,2024-09-26 16:30:00,2024-09-26 16:30:00
188,8,Spigen Power Strip,Spigen Power Strip - High quality accessories product,ACC-SPI-27615,82.53,45.5,89,Spigen,0.07,true,2023-06-05 13:34:00,2023-06-05 13:34:00
357,15,Philips Hue Smart Thermostat,EMPTY,SMA-PHI-97702,31.38,15.69,283,Philips Hue,1.27,true,2024-05-03 15:22:00,2024-05-03 15:22:00
46,2,"Leenoovoo 15"" Gaamiing",,LAP-LEN-21593,1369.15,563.81,414,Lenovo,2.5,true,2023-10-14 05:53:00,2023-10-14 05:53:00
154,7,Microsoft PS5 Controller,Microsoft PS5 Controller - High quality gaming product,GAM-MIC-48765,N/A,,abc,Microsoft,1.62,true,2022-12-05 06:18:00,2022-12-05 06:18:00
376,16,DJI FPV Drone,DJI FPV Drone - High quality drones product,DRO-DJI-19075,404.63,,203,DJI,1.7,true,2024-03-27 15:29:00,2024-03-27 15:29:00
229,10,Crucial 25...,Crucial 256GB microSD - High quality storage product,STO-CRU-16383,234.75,134.2,38,Crucial,0.5,,3024-11-25 02:52:00,2024-11-25 02:52:00
207,9,Asus Access Point,Asus Access Point - High quality networking product,NET-ASU-41729,441.05,-249.21,-222,Asus,0.45,true,2023-09-17 16:29:00,2023-09-17 16:29:00
439,18,Adobe VPN 2-Year Plan,Adobe VPN 2-Year Plan - High quality software product,SOF-ADO-43624,,#REF!,53,,0.02,true,2023-10-19 18:06:00,2023-10-19 18:06:00
234,10,Seagate 1TB Portable SSD,Seagate 1TB Portable SSD - High quality storage product,STO-SEA-41952,179.52,126.15000000000002,161,Seagate,,true,--,2023-06-12 01:41:00
5,1,Apple Plus 128GB,Apple Plus 128GB - High quality smartphones product,SMA-APP-15341,1482.81,-786.5,23,Apple,0.4,true,2023-09-23 05:14:00,2023-09-23 05:14:00
299,12,"Samsung 24"" FHD Monitor
","Samsung 24"" FHD Monitor - High quality tvs & monitors product",TVS-SAM-22861,1208.19,773.3,75,Samsung,5.08,TRUE,,2022-06-03 16:40:00
372,15,Google Smart Thermostat,Google Smart Thermostat - High quality smart home product,  SMA-GOO-85910  	,,--,TBD,,1.57,true,2024-07-16 05:23:00,2024-07-16 05:23:00
493,20,OtterBox Monarch Series,OtterBox Monarch Series - High quality phone cases product,PHO-OTT-67889,15.58,7.02,377,OtterBox,0.07,true,2022-10-22 04:17:00,2022-10-22 04:17:00
380,16,Skydio Air 3,Skydio Air 3 - High quality drones product,DRO-SKY-81922,NaN,703.39,$160.00,Skydio,1.33,true,2022-04-12 02:18:00,
308,13,HP Photo Printer,HP Photo Printer - High ...,PRI-HP-84519,170.65,not available,150,HP,N/A,TRUE,2023-04-02 18:05:00,2023-04-02 18:05:00
333,14,AMD Core i7 CPU,,COM-AMD-91886,None,844.92,443,AMD,0.95,true,2022-09-05 05:01:00,2022-09-05 05:01:00
41,2,"  HP Pro 14""  	",,LAP-HP-43719,2748.86,1782.12,472,HP,5.71,true,2023-10-15 12:33:00,2023-10-15 12:33:00
436,18,Microsoft Photo Editor Pro,Microsoft Photo Editor Pro - High quality software product,SOF-MIC-60167,87.14,not available,-23600,Microsoft,0.08,TRUE,2022-07-14 00:41:00,2022-07-14 00:41:00
319,13,Epson Color LaserJet,TBD,PRI-EPS-67491,489.05,,354,Epson,5.93,true,2022-02-12 01:27:00,2022-02-12 01:27:00
106,5,Sony Hero 12 Black,Sony Hero 12 Black - High quality cameras product,CAM-SON-14569,1185.29,930.45,,Sony,-0.65,false,2023-02-12 08:54:00,2023-02-12 08:54:00
209,9,Netgear Mesh System 3-Pack,Netgear Mesh System 3-Pack - High quality networking product,NET-NET-28715,80.37,45.55,109,Netgear,1.83,true,2024-10-28 19:10:00,2024-10-28 19:10:00
335,14,AMD Core i7 CPU,AMD Core i7 CPU - High quality computer components product,COM-AMD-97858,342.25,-22370,105,AMD,-134,true,2022-08-25 14:19:00,2022-08-25 14:19:00
125,5,Nikon Action 4,Niikoon AActiioon 4 - Hiigh quuaaliity caameeraas prooduuct,CAM-NIK-75071,-231998.99999999997,1530.79,190,,0.56,true,2024-08-23 02:41:00,2024-08-23 02:41:00
220,9,Netgear Wi...,Netgear WiFi Adapter - High quality networking product,NET-NET-24309,179.52,$79.16,227,Netgear,1.01,true,2023-05-16 00:07:00,2023-05-16 00:07:00
246,10,Western Digital 1TB Portable SSD,Western Digital 1TB Portable SSD - High quality storage product,STO-WES-54578,-148.62,UNKNOWN,,Western Digital,0.52000000000001,true,2023-09-16 23:00:00,2023-09-16 23:00:00
150,6,Garmin Venu 3,Gaarmiin Veenuu 3 - Hiigh quuaaliity smaartwaatchees prooduuct,SMA-GAR-50968,754.67,null,485,Garmin,0.05,true,2022-07-02 10:29:00,2022-07-02 10:29:00
