id,customer_id,order_id,type,subject,message,status,priority,created_at,resolved_at
306,2483,,question,Where is my tracking number?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,resolved,low,2025-05-29 22:22:50,2025-06-01 22:22:50
1281,1819,2921,question,,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,open,,,
1096,2435,,complaint,"Late delivery
",MY ORDER WAS SUPPOSED TO ARRIVE LAST WEEK AND THE TRACKING HASN'T UPDATED IN 5 DAYS. THIS IS EXTREMELY DISAPPOINTING SERVICE.,open,high,2023-12-11 15:31:49,
592,2764,1981,question_typo,Where is my tracking number?,Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?,  resolved  ,high,2023-12-14 22:26:26,2023-12-19 22:26:26
1241,1391,6697,question,Where is my tracking number?,I need to change the shipping address on my recent order. Is that still possible at this point?,,,,2025-06-29 00:01:16
64,3961,,complaint,Charged incorrectly,  The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.  	,,low,2024-10-31 17:33:26,2024-11-05 17:33:26
68,1894,,praise,Smooth checkout process,,resolved,low,14/05/2025,2025-05-19 07:05:05
378,3815,9165,question,  Where is my tracking number?  	,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,resolved,high,2024-08-16 21:19:51,2024-08-23 21:19:51
368,4588,6206,question,,"Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?
",resolved,high,2025-06-15 10:48:42,2025-06-22 10:48:42
1105,4428,,question,How do I return an item?,  Just checking on the warranty coverage for electronics. Does it cover accidental damage or just manufacturing defects?  	,resolved,medium,,2025-06-18 17:42:37
798,2113,,complaint,Missing items from my order,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,N/A,high,2023-10-02 05:01:30,
1058,1080,1906,question,What payment methods do you accept?,I placed an order 3 days ago and haven't received any shipping updates. Could you please let me know the current status?,open_typo,low,2025-06-14 00:55:34,
1277,586,9208,,Expand product selection,Your mobile app could really use some improvements. The search function is slow and filtering products is not intuitive.,CLOSED,high,2025-06-24 05:44:09,
1106,375,4686,complaint,Charged incorrectly,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,open,medium,2025-06-15 08:59:14,
647,2643,1616,complaint,,The product I received looks nothing like the photos on the website. The quality is much lower than advertised. I want a full refund.,resolved,MEDIUM,???,2025-06-27 03:32:55
181,4988,2890,complaint,Order arrived damaged,I received a completely wrong item. I ordered a laptop charger and got a phone case instead. Very frustrated with this mistake.,in_progress,LOW,2025-02-03 02:23:36,
397,3082,1000000,praise,Quick refund processing,Your product selection is the best I've found online. The prices are competitive and the quality is consistently excellent.,,low,2025-06-29 01:26:10,2025-07-05 01:26:10
150,557,1106,QUESTION,Can I change my shipping address?,,resolved,medium,2025-01-09 15:54:12,2025-01-13 15:54:12
1182,4241,,question,Do you offer price matching?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,,  low,2023-01-01 08:06:33,
563,774,6996,suggestion_typo,not available,A loyalty rewards program would make me shop here even more often. Points for purchases that can be redeemed for discounts would be amazing.,resolved,low,2025-06-20 18:24:15,2025-06-24 18:24:15
828,2210,1362,question,Is this product compatible?,I'm looking at a product on your site and wondering if it's compatible with my current setup. Can someone help me verify?,resolved,medium,2024-06-24 14:44:29,2024-06-28 14:44:29
