id,customer_id,shipping_address_id,billing_address_id,coupon_id,status,subtotal,discount_amount,tax_amount,shipping_cost,total_amount,order_date,created_at,updated_at
230,2926,4428,4428,,None,712.69,0,57.02,0,769.71,2024-09-17 07:55:24,,2024-09-17 07:55:24
3248,801,1218,1218,,shipped,992.76,,-79.42,,1072.18,2024-10-15 13:24:57,2024-10-15 13:24:57,2024-10-15 13:24:57
5761,4807,7235,7236,,pending,514.75,0,41.18,N/A,-555.93,2025-01-25 06:52:54,1737787974,2025-01-25 06:52:54
9004,3852,5816,5816,,delivered,-13281.800000000001,true,106.25,0,-143443,2025-01-31 04:15:16,2025-01-31 04:15:16,2025-01-31 04:15:16
4873,1667,2509,2509,,delivered,2109.57,0,168.77,,2278.34,2024-06-06 12:11:03,2024-06-06 12:11:03,2024-06-06 12:11:03
3741,332,513,513,44,DELIVERED,8107.21,1216.08,551.29,0,7442.42,2025-07-15 09:44:35,2025-07-15 09:44:35,2025-07-15 09:44:35
9795,578,894,894,,cancelled,0,,#REF!,0,887.05,2025-06-26 19:37:40,2025-06-26 19:37:40,2025-06-26 19:37:40
8562,2687,4066,4066,,cancelled,589.83,0,47.19,0,-63702,2023-04-27 14:13:14,2023-04-27 14:13:14,2023-04-27 14:13:14
5360,1039,1574,1574,,delivered,1245.18,0,99.61,0,1344.79,2025-05-27 08:13:44,2025-05-27 08:13:44,2025-05-27 08:13:44
4006,1915,2893,2894,,shipped,3967.9,0,317.43,,4285.33,2025-06-19 10:48:59,2025-06-19 10:48:59,2025-06-19 10:48:59
6688,4808,7237,7238,,delivered,NaN,0,26.96,0,364,2025-02-22 02:07:26,2025-02-22 02:07:26,2025-02-22 02:07:26
1411,4698,7082,7082,,,-5035.22,true,402.82,0,5438.04,2025-05-28 19:15:30,2025-05-28 19:15:30,2025-05-28 19:15:30
6059,2211,3343,3345,,delivered,,0,380.84,0,5141.4,2025-06-07 23:28:10,not available,
4424,4032,6079,6079,44,delivered,,421.3,190.99,0,2578.33,2025-05-03 21:53:14,2025-05-03 21:53:14,00/00/0000
3697,2274,3443,3444,44,delvered,-65448.9,981.73,N/A,0,6008.21,2025-06-18 04:27:43,2025-06-18 04:27:43,2025-06-18 04:27:43
6273,1659,2497,2498,,delivered,-88.81,0,7.1,,95.91,2025-03-20 10:41:10,2025-03-20 10:41:10,2025-03-20 10:41:10
1408,1667,2509,2509,,cancelled,1612.29,0,128.98,0,1741.27,2024-03-12 03:54:26,2024-03-12 03:54:26,2024-03-12 03:54:26
7995,3537,5341,5341,,delivered,1940.43,0USD,155.23,0,2095.66,2025-06-17 02:48:17,not available,2025-06-17 02:48:17
4854,2655,4021,4022,,delivered,1231.39,0,98.51,0,1329.9,2025-05-17 11:07:45,2025-05-17 11:07:45,2025-05-17 11:07:45
4190,4478,6747,6746,16,ship,2718.1,50,213.45,0,2881.55,2023-06-27 17:10:57,2023-06-27 17:10:57,#N/A
3626,1910,2887,2887,,None,487.17,0,38.97,0,526.14,2025-01-18 11:35:48,2025-01-18 11:35:48,2025-01-18 11:35:48
